artist_id,genres
0dvFTsuG02c4cRbcSQ8zE6,['atl trap']
0dvKgSdNB2U1gfp6ZcekYi,"['contemporary country', 'country road', 'modern country rock']"
0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'hip hop', 'rap']"
0eEyJYLYfx1dY8rsVsNVG0,[]
0eHQ9o50hj6ZDNBt6Ys1sD,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
0eI3X5rAzHRZVe5FPk4MN1,"['alternative metal', 'metal', 'post-grunge']"
0eXDc4nH9o04fidVlbUecE,[]
0ebNdVaOfp6N0oZ1guIxM8,['k-pop']
0ecnb1WPePfrHg4yfQfmqN,"['dirty south rap', 'new orleans rap']"
0ekbDNE2eOq8QiaXM34wer,"['acoustic pop', 'neo mellow', 'pop rock']"
0elWFr7TW8piilVRYJUe4P,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
0epOFNiUfyON9EYx7Tpr6V,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
0f3PsS9IQ6whvNMFFKnpjl,"['british choir', 'cambridge choir', 'choral']"
0f5nVCcR06GX8Qikz0COtT,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
0fA0VVWsXO9YnASrzqfmYu,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
0fGVuq5ed21pM7iWwTcMyk,['hel']
0fGcIStdT1OpFFhOC7Wp36,[]
0fTSzq9jAh4c36UVb4V7CB,"['gen z singer-songwriter', 'singer-songwriter pop']"
0fbFfVckGKsDbAfYnB5mD1,"['bounce', 'dirty south rap']"
0fiWOxhsBsQQvFDtxUQWo0,"['contemporary country', 'country', 'country road']"
0g0ZYLiNYI4kMg8MX76bkN,['sped up']
0g9vAlRPK9Gt3FKCekk4TW,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
0gHWXdaWQObi1A6C1rzgRM,['piano rock']
0gSAxSvAApQc71cTpoXDFu,"['canadian contemporary country', 'contemporary country', 'country pop']"
0gY0jm6QAzJCAslmZC3T35,[]
0gYPvqw2BViDJAm45jOYPG,[]
0gadJ2b9A4SKsB1RFkBb66,"['folk-pop', 'neo mellow']"
0gcDAjaKZIKMdYJoIdrIfR,[]
0gg11prPP6OqtUvBcKnPpq,"['alabama rap', 'atl trap', 'tennessee hip hop']"
0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']"
0hEurMDQu99nJRq8pTxO14,"['neo mellow', 'singer-songwriter']"
0hF6lbAjRsq4svrQUr5sgU,['new york drill']
0hYxQe3AK5jBPCr5MumLHD,"['contemporary country', 'country', 'country dawn', 'country road']"
