chart_week,list_position,track_id,score,chart_year,chart_month,track_name,duration_ms,release_date,album_type,explicit,artist_id,artist_name,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,distance_to_mean
2008-03-01,7,1wva1IlWLDNLgwipUWcmjy,72,2008,3,Sensual Seduction,245520,2007-01-01,single,False,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,84.0,12668742.0,0.756,0.829,11.0,-3.973,1.0,0.0682,0.003,3.46e-05,0.0578,0.504,120.163,4.0,r&b,7.079308184253921
2002-03-23,7,3E7ZwUMJFqpsDOJzEkBrQ7,72,2002,3,Can't Get You out of My Head,230640,2001-10-01,album,False,4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,73.0,2070311.0,0.766,0.563,9.0,-7.516,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,4.0,other,7.085475737393776
2011-07-02,7,5ZVGvay4xwgXMnQWffNYeU,72,2011,7,Dirt Road Anthem,229400,2010-11-02,album,False,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,75.0,6582586.0,0.68,0.74,2.0,-5.064,1.0,0.0355,0.342,1.81e-06,0.117,0.644,127.024,4.0,country,7.124924992935652
2011-03-19,7,3pYDZTJM2tVBUhIRifWVzI,72,2011,3,Blow,219973,2010-11-19,album,False,6LqNN22kT3074XbTVUrhzX,Kesha,81.0,8210379.0,0.753,0.729,11.0,-3.862,0.0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,4.0,pop,7.135833822804203
2013-05-18,7,6HZ9VeI5IRFCNQLXhpF4bq,72,2013,5,I Love It (feat. Charli XCX),157152,2013-08-27,album,True,1VBflYyxBhnDc9uVib98rw,Icona Pop,68.0,717326.0,0.711,0.906,8.0,-2.671,1.0,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,4.0,pop,7.582661709249373
2012-07-21,7,0lHAMNU8RGiIObScrsRgmP,72,2012,7,Titanium (feat. Sia),245040,2011-08-24,album,False,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90.0,26286764.0,0.604,0.788,0.0,-3.673,0.0,0.103,0.0678,0.153,0.127,0.301,126.06,4.0,other,7.772597401008098
2014-07-19,7,6YUTL4dYpB9xZO5qExPf05,72,2014,7,Summer,222533,2014-10-31,album,False,7CajNmpbOovFoOoasH2HaY,Calvin Harris,87.0,22889327.0,0.596,0.856,4.0,-3.556,0.0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4.0,pop,8.058380759609463
2003-03-29,7,3OUApyz3jDB3syGUNGqB1d,72,2003,3,How You Gonna Act Like That,294693,2002-12-01,album,False,08p7B5OtcUuVblvkQIlBhJ,Tyrese,58.0,2533033.0,0.733,0.521,3.0,-3.657,0.0,0.0457,0.107,0.0,0.0692,0.525,112.913,4.0,r&b,8.462249601261085
2015-08-08,7,1WoOzgvz6CgH4pX6a1RKGp,72,2015,8,My Way (feat. Monty),213053,2015-09-25,album,True,1Wnfj5qZsp8nPsGBBRRa4W,Monty,56.0,19929.0,0.748,0.741,6.0,-3.103,1.0,0.0531,0.00419,0.0,0.147,0.537,128.077,4.0,other,8.474772061866801
2006-09-02,7,3rKCDtV8UcF0RytSiXxypc,72,2006,9,Get Up (feat. Chamillionaire),261880,2006,album,False,2NdeV5rLm47xAvogXrYhJX,Ciara,72.0,6741121.0,0.964,0.595,1.0,-6.887,0.0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,4.0,pop,8.747199427016268
2012-10-27,7,4sK96UnGx3NjBaqvfTG2dm,72,2012,10,Too Close,256560,2011,album,False,5Tf4EH8tDvznnjULcFxkIl,Alex Clare,54.0,520112.0,0.584,0.712,11.0,-4.311,0.0,0.0395,0.0112,1.05e-06,0.114,0.286,126.043,4.0,rock,8.81732581540271
